feature,mean_abs_shap
rTotalReactiveEnergy,146.48551193237304
airTotal,5.795465621948242
rTotalApparentEnergy,4.573529396057129
celTemp,1.7633119201660157
aCosPhi_L3,0.04569191667251289
celHum,0.02921164324041456
aVoltage_L1_N,0.027881778469309212
aVoltage_L3_N,0.021262458697892724
airTempeatur,0.0160322000621818
aApparentPower_L3,0.015607066117227078
aApparentPower_L1,0.014637356572784484
aCosPhi_L1,0.009807934480486438
aCurrentL1,0.009160141583997757
aActivePower_L3,0.006890086254570633
aCurrentL3,0.006269835215061903
aVoltage_L2_N,0.006243343336973339
aReactivePower_L1,0.005615185685455799
aPowerFactorPF_L1,0.004932039838749915
aActivePower_L1,0.0048887426010333
rTotalApparentPower,0.004770486948546022
airDurchfluss,0.004438118506222963
aCosPhi_L2,0.003839648230932653
aReactivePower_L2,0.003635319609893486
rTotalActivePower,0.00349498211639002
rTotalReactivePower,0.0033056431391742082
aCurrentL2,0.0029796908586286006
aApparentPower_L2,0.002940599488792941
aPowerFactorPF_L2,0.002750804641400464
aReactivePower_L3,0.002697054650634527
aActivePower_L2,0.002203848972567357
airDruck,0.001699648662470281
