,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
rTotalReactiveEnergy,0.0,0.0,0.0,4.886602671155128e-24,1.5487982093037062e-24,7.550334956080794e-24,2.5239046508535587e-22,8.218861742140619e-18,7.683021000460622e-23,5.386436100935271e-19,5.083168502485596e-16,6.373191537619012e-19,9.867188683644125e-19,5.954199984215113e-17,1.723642963063545e-22,0.0,0.0,0.0,1.45564569414407,0.03869633192049029,4.711700563132763,10.398862712631622,20.32742357357343,7.866423735419909,24.218234865219333,16.446701022247474,19.69797034216424,22.244818782776594,9.149100791047017,13.74982389825955
rTotalApparentEnergy,0.0,0.0,0.0,5.769457002537372e-30,1.495522901540365e-31,7.878068579950208e-29,5.8191708163607955e-27,7.698263356458157e-23,9.573394734545163e-27,2.6739481353488835e-23,2.3350566986616065e-21,4.4543155008063885e-24,5.445261004891436e-23,2.3330096437463696e-21,3.3199692647466173e-28,0.0,0.0,0.0,0.026692401038870835,0.0006914335047361722,0.08480987495991091,0.23325214298767968,0.516551662520816,0.3010463328246648,0.6431311008675645,0.3644068314321339,0.42904490119901795,0.5013772315016637,0.20255090779143697,0.20483031328208745
airTotal,0.0,0.0,0.0,6.472916742707463e-30,2.0646156591166586e-31,6.635871060717766e-29,5.079672049099611e-27,6.343564888753096e-23,7.458103506663291e-27,2.2178898609364933e-23,1.8768216926548905e-21,3.363460103432282e-24,4.4788833095527727e-23,1.8754791769845418e-21,2.8506848120706164e-28,0.0,0.0,0.0,0.029947633621205266,0.000956597276967121,0.11365003046393395,0.21475295423530041,0.4425761714509378,0.18071050105430186,0.5922487813021677,0.2805015540135403,0.35387057832597446,0.48206439322667816,0.17861846108920873,0.24169150018350533
celTemp,0.0,0.0,0.0,5.304894518744046e-26,1.681355112619044e-26,8.198334575759466e-26,2.7416215840870883e-24,8.936626259205809e-20,8.352169152993568e-25,5.8569021518889215e-21,5.529396629257921e-18,6.92771713640564e-21,1.0727750712654006e-20,6.478215023286691e-19,1.871640404887201e-24,0.0,0.0,0.0,0.017384034177909295,0.00046329952054657044,0.0560267271399498,0.1247004154821237,0.24289255587259928,0.09396814783414205,0.2864766096659005,0.19574467728535333,0.23660977880408365,0.265176579306523,0.11014067734281222,0.1645640459333857
aCosPhi_L3,0.0,0.0,0.0,6.266465895009225e-32,2.7217342703166607e-33,4.285593518402975e-31,1.9958015390260085e-29,4.970959528159282e-25,1.91454677345267e-29,1.595322448379012e-25,2.928597196346706e-23,2.5280670877036883e-26,3.606614969551077e-25,2.925494439247893e-23,2.4075067168924966e-29,0.0,0.0,0.0,0.0002899370828072479,1.2581231656775833e-05,0.0005691183613029237,0.001308028326373852,0.002209260276029022,0.0013172877094947415,0.0025490447259678057,0.0023320766068760683,0.0032228350836631518,0.003228897095306962,0.00208768750122645,0.0037759797281522274
aVoltage_L1_N,0.0,0.0,0.0,7.984957787439658e-33,4.206000618369881e-34,2.045003525128451e-31,1.459957874291945e-29,1.1042711017663654e-25,1.2708892227625432e-29,4.5161527816909994e-26,2.65449763473751e-23,1.2055847869927693e-26,7.494050310569081e-26,2.652120723164117e-23,3.920128002336967e-30,0.0,0.0,0.0,3.694234907350887e-05,1.9441811900664795e-06,0.0003757987915364822,0.0006258948453892686,0.0023860769349679078,0.002295250819558324,0.002573484466519858,0.0010774145523169806,0.0010238537464394048,0.0014457455570508653,0.0011831084516341957,0.0016705859510126782
airTempeatur,0.0,0.0,0.0,1.1515056503570111e-32,1.3961383443732314e-34,2.6570099497887553e-31,2.590299273485206e-29,3.5608703417613804e-25,1.854438393607763e-29,2.141029121262757e-25,1.2595437963468475e-23,1.6870752201742395e-26,2.0631692306764302e-25,1.257786134879566e-23,1.1502326670560751e-30,0.0,0.0,0.0,5.327803487922367e-05,6.454671815552329e-07,0.0005977231324398152,0.000741396859255469,0.0017007396932575223,0.0009893536533745455,0.0018237534021466218,0.0014370570523962744,0.001882969330912033,0.0021116773824936294,0.000431126653470893,0.0009198840846292455
aVoltage_L3_N,0.0,0.0,0.0,1.0517980183585086e-32,4.6567813223873445e-34,4.561973615541289e-31,1.6375097342681213e-29,4.2027554697054645e-25,1.0926699685602227e-29,1.5668338462939514e-25,2.4069549454814885e-23,4.0689592474404296e-26,2.788201701376055e-25,2.4019389559451962e-23,2.1196550897931675e-30,0.0,0.0,0.0,4.866290219557793e-05,2.152503750498358e-06,0.00019523580928230898,0.000501479171975145,0.001846224350056237,0.0009714537078783773,0.0014831602481421556,0.0010228896171753945,0.0009657615320332932,0.0012959568501027738,0.0009871303640732094,0.001174521483691752
celHum,0.0,0.0,0.0,9.98194857917749e-33,3.4873843278026007e-34,1.9647789304228112e-31,1.395084560134748e-29,1.5214246152163508e-25,9.312639559436844e-30,6.219754280304549e-26,1.647139405496333e-23,6.940056641510151e-27,1.0311552127568015e-25,1.6457486587301055e-23,2.0856250968814514e-30,0.0,0.0,0.0,4.617301799131468e-05,1.6119778629902492e-06,0.0003566343061904966,0.0008368232731034801,0.0009648950594689725,0.0005773196749089061,0.0009828084025157047,0.000826948832102308,0.001979674491302845,0.0013147990297259278,0.00048700805149318665,0.0019972942092011483
aCosPhi_L1,0.0,0.0,0.0,1.1040498473965554e-32,4.2020155443991325e-34,2.0469092103394643e-31,1.819235700650601e-29,1.2042567455291806e-25,1.1142803793370052e-29,8.058980575689835e-26,8.31917733609313e-24,3.3482818672521397e-26,9.781297882335582e-26,8.302243080543912e-24,1.2918267333118566e-30,0.0,0.0,0.0,5.049471426799649e-05,1.9426147180569194e-06,0.0004818926796628868,0.0007208120056964541,0.001118529111957925,0.0008861465770069709,0.001186883778508881,0.0007581242322612288,0.0012541365519123768,0.0012243449229409104,0.0005262748225975879,0.0010839283705714137
aApparentPower_L3,0.0,0.0,0.0,2.7355798592842897e-32,1.687676821207687e-34,1.8595136427831327e-31,8.346542309181148e-30,1.5144875790243353e-25,6.447806254892397e-30,5.614644750131932e-26,6.687540696510004e-24,3.9706073788623816e-27,1.0927089452273663e-25,6.6810612855838e-24,1.0639563040776084e-30,0.0,0.0,0.0,0.00012656940732523836,7.80352047491777e-07,0.00028335460113291334,0.00042722219338394514,0.000675874081327,0.0006300761931935975,0.001388259247984981,0.0014480501310726707,0.0015182160867816114,0.0009620168469282362,0.00033417187863985496,0.00047344020887341763
aActivePower_L3,0.0,0.0,0.0,8.232512919421215e-33,1.8952451646097831e-34,1.1627708709882508e-31,1.7220355891319618e-29,8.621093829918797e-26,5.125898387820283e-30,3.39439975039613e-26,7.035612292375502e-24,4.244902275502111e-27,6.144997086716723e-26,7.026974697205596e-24,1.0995631496970923e-30,0.0,0.0,0.0,3.8091902225687e-05,8.762028994320353e-07,0.0003035371661409485,0.0004554359427708429,0.0006650661980033661,0.00039775661124411953,0.0010092037907287097,0.0008794352513021909,0.0005347214476782445,0.001182941159394223,0.00020746207222094407,0.0004085469424236123
aCurrentL3,0.0,0.0,0.0,3.1480146464701524e-32,1.72967766905658e-34,2.164857180155365e-31,7.81035908058411e-30,2.1453631831747827e-25,6.240427397260404e-30,7.810384274355672e-26,5.737661289721837e-24,3.674091988017028e-27,1.5140964605147856e-25,5.732113031434711e-24,1.1496690909232306e-30,0.0,0.0,0.0,0.00014565173340946882,7.997443020053886e-07,0.0002866303220935246,0.00038670868042319737,0.0006349960715731082,0.00046127780719136053,0.0011016571408476493,0.0007405932807308583,0.0006770353325157904,0.0008570496958525382,0.0002673440200421074,0.0004232310571591415
aCurrentL1,0.0,0.0,0.0,1.2822422375613618e-32,1.1190245336117595e-34,7.646183572580521e-32,7.155840135644357e-30,8.978669591342887e-26,3.6342356152360185e-30,2.6947838019831804e-26,3.87889960635406e-24,7.904935045412315e-27,7.342803074449611e-26,3.8777267473849146e-24,8.056998193703054e-31,0.0,0.0,0.0,5.932701972661048e-05,5.173400316957899e-07,0.00016807902129289333,0.00027410908960827623,0.0009820030899282415,0.0005631704858483697,0.0012249251946281152,0.0007063995388843693,0.0006410540427650926,0.0007314000096349199,0.0003018802455372705,0.0003251108495968064
aApparentPower_L1,0.0,0.0,0.0,1.2872416711855879e-32,1.157039725009621e-34,9.571248401108714e-32,7.127323253838785e-30,8.911487437596963e-26,3.460460217743954e-30,2.7950503746846834e-26,3.635038982114635e-24,4.337225639578434e-27,7.180730234047243e-26,3.6317277661142385e-24,8.319884541529311e-31,0.0,0.0,0.0,5.955919756614166e-05,5.349083543480053e-07,0.00017688010282672907,0.00027650134235614844,0.0009561096408615697,0.0005395653496084757,0.001312655756818136,0.0005715485196531631,0.0004936742916184235,0.0006474903794900039,0.00039503456699475654,0.0003504797532680889
