feature,mean_abs_shap
airTotal,41.507019424438475
rTotalApparentEnergy,5.66474796295166
aApparentPower_L1,0.10642188643920235
aCosPhi_L3,0.04855003209318966
aVoltage_L3_N,0.035241514807567
airTempeatur,0.022390742031857373
aVoltage_L1_N,0.019641214110888542
airDurchfluss,0.013469578828662634
aVoltage_L2_N,0.01316144630778581
aCosPhi_L1,0.008342372250044718
aCosPhi_L2,0.00822178689413704
rTotalActivePower,0.004632234384771437
aReactivePower_L1,0.004098087965976447
aReactivePower_L2,0.0030197909183334558
aCurrentL1,0.002287398116895929
aReactivePower_L3,0.002226429851143621
aCurrentL2,0.0019804388261400164
aActivePower_L2,0.0018390814552549273
aCurrentL3,0.001777023080503568
rTotalReactivePower,0.0017082123411819338
rTotalApparentPower,0.0016611959494184704
aPowerFactorPF_L2,0.0016578838380519301
aApparentPower_L3,0.0014116116741206496
aActivePower_L1,0.0013322183216223492
aApparentPower_L2,0.0012213689426425845
aActivePower_L3,0.0007879693422000856
rTotalReactiveEnergy,0.0
