,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
airTotal,1.3051490719235084e-13,0.00876310656767843,0.0,0.0,1.1183175750737048e-33,0.0,9.958932562351226,0.3158876077135404,1.267107952788472,0.2784593153569537,1.2833523659457764,0.0024537125043425476,9.959002696375052,0.31385692332064113,2.255280209733633e-12,3.6400559210210635e-10,3.5562648716454724e-07,0.0005563041171941828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rTotalApparentEnergy,9.200469337793661e-14,0.005054123981654508,0.0,0.0,3.370882743780767e-33,0.0,1.7534925735145808,0.3548117657623564,0.884968567956239,0.3235383137265841,0.8089895217878124,0.0029568143433959145,1.753506048495571,0.3534202065632368,1.7894989701642355e-13,7.6190613928472e-10,8.500751566818583e-07,0.0013617714515615565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aVoltage_L3_N,1.3418753869630315e-17,1.0553569988600372e-06,0.0,0.0,2.751313218844112e-37,0.0,0.0004979300836621657,0.006591381332844132,0.0056666251731866575,0.0005452227900400809,0.005900261104832519,1.406032801201699e-05,0.0004979387360228145,0.006538715217472763,5.020931055121746e-17,9.670799709011418e-14,1.2231397584168808e-10,6.785156995270722e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aCosPhi_L3,4.622592400468798e-18,3.8493032868714036e-07,0.0,0.0,1.4509293085214313e-37,0.0,9.815930208317146e-05,5.6247642136445876e-05,0.005263916843683946,0.005358800864211743,0.0009899979814174745,1.4941453081158906e-05,9.816001259001735e-05,2.7939711784025178e-05,7.931445552325844e-18,5.116359713804434e-14,4.6143588522334673e-11,1.1655513650020937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airTempeatur,2.6166675139436693e-17,8.10207430285528e-07,0.0,0.0,1.4730539981144466e-35,0.0,6.844087949872664e-05,0.00020411293226246723,0.005123422518517724,0.004918193119489572,0.001209338489767069,1.815548650937517e-05,6.84338669475996e-05,0.00019792471485367074,9.498056732434175e-18,3.212209623950186e-13,2.36845804996065e-10,5.080978501621606e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aVoltage_L2_N,2.4771046199937038e-17,2.079908174308413e-06,0.0,0.0,1.7045298316329924e-37,0.0,0.0002801448579151735,0.00013727236830725432,0.004009134952632318,0.000586528739156492,0.004123202302325694,1.0877458176089909e-05,0.0002801539015911923,0.00010457231173966363,2.749391682285317e-17,3.470843148801158e-14,1.4310428593380713e-10,3.701502935714645e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aVoltage_L1_N,1.1641437954434928e-16,6.442648319738223e-07,0.0,0.0,2.555970205809416e-37,0.0,0.0007188798349199442,0.00014093268232993948,0.003393590564488704,0.000561158159597069,0.0033505326726478114,9.587398200291197e-06,0.0007188816878920038,0.00011718845974095649,2.5905081268928246e-17,5.006080788304283e-14,8.413372834427794e-11,3.553913063475845e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aApparentPower_L1,4.2012563067545396e-18,4.486563190829296e-06,0.0,0.0,2.420747877043603e-38,0.0,5.359173234266645e-05,3.19494190907393e-05,0.0039041855490703353,0.0037664844304207226,0.0003387157723355365,3.287338461950173e-06,5.359410772715693e-05,2.1644192562398987e-05,4.321412000233737e-18,3.7325804948078994e-14,3.0831478272394738e-12,4.2482064282148445e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aCosPhi_L1,7.796322861600841e-18,7.136605248411816e-07,0.0,0.0,9.050637303122445e-38,0.0,7.784376219297817e-05,6.013198550552889e-05,0.002061685608959389,0.0006810094302742063,0.0018873478103209867,7.419170340316371e-06,7.785736366674235e-05,2.5025574321170166e-05,6.712113013843802e-18,3.981051864390048e-14,1.3286569118465308e-11,1.2377812358834163e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aCosPhi_L2,4.018077169546951e-18,4.4647938306641024e-07,0.0,0.0,1.1105125534365594e-37,0.0,5.704939672880167e-05,5.5346442818220435e-05,0.0015364740994838447,0.0013445340255862465,0.0005815193312558288,9.297254974834284e-06,5.704416262274373e-05,2.3822844197285105e-05,3.848431981140452e-18,1.505974436123379e-14,3.472432580835013e-11,8.281602150232245e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
