feature,mean_abs_shap
rTotalReactiveEnergy,4809.493232421875
rTotalApparentEnergy,1138.5962915039063
airTotal,429.75669677734373
aCosPhi_L2,1.9528339906036853
aApparentPower_L2,1.0884638174250723
airTempeatur,1.0561233233660459
aReactivePower_L1,1.0525443255901337
aApparentPower_L1,1.050167680978775
aCosPhi_L1,0.9691259849071503
aReactivePower_L2,0.8611326894164085
aVoltage_L1_N,0.7169450959563255
rTotalApparentPower,0.5749619986861945
aActivePower_L1,0.5646623885631561
rTotalActivePower,0.501837936937809
aCurrentL1,0.4312440574169159
aCosPhi_L3,0.41417301289737224
aActivePower_L2,0.22161431059241296
aVoltage_L3_N,0.2207733115926385
aPowerFactorPF_L2,0.16545485768467189
aVoltage_L2_N,0.1583546222001314
aPowerFactorPF_L1,0.13357825950719415
aReactivePower_L3,0.12681551475077868
rTotalReactivePower,0.09236434035003185
aCurrentL2,0.08167956177145243
airDurchfluss,0.058615223839879035
aCurrentL3,0.021727629099041225
aApparentPower_L3,0.016839428171515465
aActivePower_L3,0.011269637979567051
