,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
rTotalReactiveEnergy,2.032642890907887e-15,2.324624898026387,1.9959734752749403,41.72193119947116,0.02130617776311313,64.58732011802991,2.0103379877379564e-13,0.11450499074812978,2.171284125736619e-39,0.0,0.11355457295516196,2.9280412624874404e-19,2.1333038441730501e-26,116.5599380308787,2.68317585584147e-16,34.74952329365412,5.235353895423012e-13,2.8348324964343142e-27,841.0927328440348,96.43966264680029,904.695869799296,1597.645924891154,47.937258120536804,65.10308907620112,838.373034538269,4.578172392549304,899.2688964525859,1584.3173282057444,2.254430218140284,15.88947576268514
rTotalApparentEnergy,1.83184299805972e-15,0.0007708501912038628,0.0007149751721499342,49.47526333407561,7.745021615524669e-06,49.469584340294205,3.309485154685542e-15,0.23171888093122592,9.602761531893118e-40,0.0,0.23171552442285853,7.758899541233095e-21,1.48541941967656e-29,2.9310737226381898,1.9717997431462192e-19,0.44247419949946926,3.530753275808091e-16,2.0679209943492596e-30,88.47717596101761,134.7723873383204,38.20908713301023,63.8912664817969,22.522812192122142,31.630164326786996,2.907664585789045,0.0012897378047520458,0.22135642925882712,18.92497389604151,0.3564550470163425,20.68087391501665
airTotal,9.317754643896009e-16,0.007467173156149026,0.0058647956735367185,46.62245210504532,8.412545425426288e-05,46.628394339005155,2.1710050490117267e-15,0.09914917395217344,6.294220565855735e-39,0.0,0.09914586111323054,6.553423990634051e-21,1.1549096167510072e-28,1.6039142966841657,7.970958778813609e-19,0.28558305140584705,1.813983613622979e-15,7.653460946370737e-30,77.12964793316523,60.134630324363705,53.538816511223715,35.04854197788239,21.12566032210986,29.714220474561056,3.598232515897602,0.006182349756340652,2.170417199509529,18.909060315052667,0.7204296624884009,22.620533889710902
aCosPhi_L2,1.9068380096768597e-18,9.478855038443061e-08,7.162421988740036e-08,0.001663035114373135,1.454581336582622e-09,0.0016635100267627554,4.1052122398516884e-19,2.841058459038278e-06,1.8192684282738615e-43,0.0,2.840948579796054e-06,3.475440140565901e-24,2.3412723860028324e-34,0.010832906199042303,4.291415432227577e-22,0.0016638650471108795,9.680016979012771e-21,1.6343141910890122e-35,0.2777599496583486,0.4096900789653652,0.08562595141969116,0.23655899638660813,0.04162072713844191,0.03989247165798285,0.0012678514997177572,1.3127823557539534e-08,4.6228660405162444e-06,0.007241287918564618,0.00011612331153740503,0.00846427562793076
aCosPhi_L1,5.345439208749726e-18,1.5942971838851562e-08,1.0083630802112941e-08,0.1333874287508378,2.141122165349949e-09,0.13338728262368016,1.1797168729945775e-17,0.0002958523158331824,6.754352017943239e-44,0.0,0.0002957524036855451,8.18908132019134e-23,3.348568142554282e-33,0.00035509669336412724,3.960886794984051e-20,5.451780057664261e-05,9.99124257209863e-22,3.85688159644906e-36,0.17299280868501712,0.017113098623153442,0.17734361721249298,0.00788983587868279,0.018327030369947653,0.021905497974762208,0.003513499388169521,1.260462912054526e-09,2.420658981714515e-05,0.01657188676524917,0.0006117017343556199,0.01949710406610393
airTempeatur,5.89059795377569e-19,3.3803190920239096e-08,1.8815814051323028e-08,0.0011727503458970002,3.4824471053613066e-09,0.001172964819228429,1.1117437732197695e-18,7.81385386125546e-05,2.990352238889635e-43,0.0,7.813592026048551e-05,1.4634007008288879e-24,1.0583096544257464e-30,0.0019937976900209833,2.6128270496472845e-24,0.0003063376292710653,1.7721094739522457e-17,6.111064400609893e-36,0.046213777623413915,0.15029000503292264,0.04369726938400784,0.046028059788231906,0.05001477438780269,0.16241382037446722,0.009173679189577077,4.43152585932955e-09,1.165310526581409e-05,0.04905071462296415,3.648874255107959e-05,0.05824077976310292
aApparentPower_L1,2.588991023286807e-18,5.643219789195723e-09,4.727884564325232e-09,0.054826208704257924,2.829577257889873e-10,0.05482618501484345,6.566462830506267e-19,5.627458858513605e-06,1.4065673465506785e-43,0.0,5.617730243808294e-06,4.149024957293493e-23,6.688108780555882e-34,0.00016273570861911443,1.3399644755838193e-23,2.498372128364205e-05,3.0861575109129884e-22,1.9065438948402166e-36,0.24204563151936356,0.00504676470314007,0.2412647426969682,0.0035880695966940645,0.0015139690306799215,0.001931271489818755,0.00036217459272635703,9.698896409676924e-09,0.0001214060893092513,0.0010626505791508406,0.0002733560923749489,0.0011624678562162862
aReactivePower_L1,1.379479334063347e-19,6.774960061465412e-09,5.878848210775593e-09,0.003974478685625399,7.983451447033871e-10,0.003974431005778266,8.30965094611656e-18,4.636163729890086e-05,1.1009590986650552e-42,0.0,4.635917289683297e-05,3.512496015173012e-23,9.685735573818642e-34,0.0004033743472464266,1.2318105115141333e-22,6.193961771350587e-05,6.300393953745008e-22,3.0819517294009624e-36,0.2765319733309249,0.008769975691723327,0.27706354679912326,0.008784428234076283,0.0023033004655444527,0.002677605676846876,0.0005485598951223837,1.7129571411774365e-09,9.930390901787216e-05,0.0016812904162846582,0.00043003584679000064,0.0018773405370272182
aActivePower_L1,3.104427413696938e-19,5.807273813458414e-09,5.019893111964037e-09,0.009848278124534999,1.8370658801913695e-10,0.009848289992719382,2.278159766986521e-19,2.8521055153834147e-05,5.148090298236513e-44,0.0,2.8520478381150277e-05,5.890681838437398e-25,3.9687960678095033e-35,0.0017336527957939629,3.019857340443209e-25,0.0002662306076541275,4.2305128074912994e-22,2.9353168379641823e-36,0.19659739328874276,0.03751797253747888,0.19209247354763404,0.0378309263151635,0.016173691268981202,0.01602402812085547,0.001888727419793895,4.766912202208271e-10,0.0065059111281661145,0.0068160797052679144,0.000152450532031961,0.008600989330867321
aReactivePower_L2,3.85828546277044e-19,2.9002191710547804e-08,2.6805845674140207e-08,0.0008734201317069316,8.915833405378771e-10,0.0008746944701989226,1.9667108011624297e-18,0.0005769029171034106,4.984654055745381e-42,0.0,0.0005768991863369687,5.332506673939551e-24,2.1089283807091705e-34,0.0008475017704381618,1.852662348740965e-24,0.00013000538289273457,3.454744338407228e-21,1.1781486115356126e-35,0.05852087420252356,0.10593870285287267,0.0570330156487228,0.01782630616576006,0.02044031214914776,0.09917996647292845,0.01239167463995121,1.450960048064683e-06,1.1944726258360738e-05,0.0268519290837321,9.318402720135547e-05,0.03553583858698827
